"Name","Count"
"LACY","29,391"
"JULIET","29,391"
"JACKLYN","29,391"
"FREIDA","29,391"
"MADELEINE","29,391"
"MARA","29,391"
"HESTER","29,391"
"CATHRYN","29,391"
"LELIA","29,391"
"CASANDRA","29,391"
"BRIDGETT","29,391"
"ANGELITA","29,391"
"JANNIE","29,391"
"DIONNE","29,391"
"ANNMARIE","29,391"
"KATINA","29,391"
"BERYL","29,391"
"PHOEBE","29,391"
"MILLICENT","29,391"
"KATHERYN","29,391"
"DIANN","29,391"
"CARISSA","29,391"
"MARYELLEN","29,391"
"LIZ","29,391"
"LAURI","29,391"
"HELGA","29,391"
"GILDA","29,391"
"ADRIAN","29,391"
"RHEA","29,391"
"MARQUITA","29,391"
"HOLLIE","29,391"
"TISHA","29,391"
"TAMERA","29,391"
"ANGELIQUE","29,391"
"FRANCESCA","29,391"
"BRITNEY","29,391"
"KAITLIN","29,391"
"LOLITA","29,391"
"FLORINE","29,391"
"ROWENA","29,391"
"REYNA","29,391"
"TWILA","29,391"
"FANNY","29,391"
"JANELL","29,391"
"INES","29,391"
"CONCETTA","29,391"
"BERTIE","29,391"
"ALBA","29,391"
"BRIGITTE","29,391"
"ALYSON","29,391"
"VONDA","26,126"
"PANSY","26,126"
"ELBA","26,126"
"NOELLE","26,126"
"LETITIA","26,126"
"KITTY","26,126"
"DEANN","26,126"
"BRANDIE","26,126"
"LOUELLA","26,126"
"LETA","26,126"
"FELECIA","26,126"
"SHARLENE","26,126"
"LESA","26,126"
"BEVERLEY","26,126"
"ROBERT","26,126"
"ISABELLA","26,126"
"HERMINIA","26,126"
"TERRA","26,126"
"CELINA","26,126"
